Date,^DJI,^FCHI,^FTSE,^GSPC,^HSI,^IXIC,^N225,^STOXX50E
2024-09-12,41096.76953125,7435.06982421875,8241.0,5595.759765625,17240.390625,17569.6796875,36833.26953125,4814.080078125
2024-09-13,41393.78125,7465.25,8273.099609375,5626.02001953125,17369.08984375,17683.98046875,36581.76171875,4843.990234375
2024-09-16,41622.078125,7449.43994140625,8278.400390625,5633.08984375,17422.119140625,17592.130859375,,4827.6298828125
2024-09-17,41606.1796875,7487.419921875,8309.900390625,5634.580078125,17660.01953125,17628.060546875,36203.21875,4860.77978515625
2024-09-18,41503.1015625,7444.89990234375,8253.7001953125,5618.259765625,,17573.30078125,36380.171875,4835.2998046875
2024-09-19,42025.19140625,7615.41015625,8328.7001953125,5713.64013671875,18013.16015625,18013.98046875,37155.328125,4943.3798828125
2024-09-20,42063.359375,7500.259765625,8230.0,5702.5498046875,18258.5703125,17948.3203125,37723.91015625,4871.5400390625
2024-09-23,42124.6484375,7508.080078125,8259.7001953125,5718.56982421875,18247.109375,17974.26953125,,4885.56982421875
2024-09-24,42208.21875,7604.009765625,8282.7998046875,5732.93017578125,19000.560546875,18074.51953125,37940.58984375,4940.72021484375
2024-09-25,41914.75,7565.6201171875,8268.7001953125,5722.259765625,19129.099609375,18082.2109375,37870.26171875,4916.89013671875
2024-09-26,42175.109375,7742.08984375,8284.900390625,5745.3701171875,19924.580078125,18190.2890625,38925.62890625,5032.58984375
2024-09-27,42313.0,7791.7900390625,8320.7998046875,5738.169921875,20632.30078125,18119.58984375,39829.55859375,5067.4501953125
2024-09-30,42330.1484375,7635.75,8237.0,5762.47998046875,21133.6796875,18189.169921875,37919.55078125,5000.4501953125
2024-10-01,42156.96875,7574.06982421875,8276.7001953125,5708.75,,17910.359375,38651.96875,4954.14990234375
2024-10-02,42196.51953125,7577.58984375,8290.900390625,5709.5400390625,22443.73046875,17925.119140625,37808.76171875,4963.2900390625
2024-10-03,42011.58984375,7477.77978515625,8282.5,5699.93994140625,22113.509765625,17918.48046875,38552.05859375,4921.330078125
2024-10-04,42352.75,7541.35986328125,8280.599609375,5751.06982421875,22736.869140625,18137.849609375,38635.62109375,4954.93994140625
2024-10-07,41954.23828125,7576.02001953125,8303.599609375,5695.93994140625,23099.779296875,17923.900390625,39332.73828125,4969.7099609375
2024-10-08,42080.37109375,7521.31982421875,8190.60009765625,5751.1298828125,20926.7890625,18182.919921875,38937.5390625,4949.0
